InteractionID,GeneSymbol,DrugID,DrugName,ConceptID,InteractionType,Directionality,Score,PMIDs,Sources
IX03518,CYP3A4,D02710,CYTARABINE,rxcui:3041,,,0.001459837767306642,22931300,DTC
IX03519,CYP3A4,D02711,(S)-ALAPROCLATE,chembl:CHEMBL251941,,,0.01459837767306642,,DTC
IX03520,CYP3A4,D02712,CIS-RESVERATROL,chembl:CHEMBL87333,,,0.0083419300988951,,DTC
IX03521,CYP3A4,D02713,TICRYNAFEN,ncit:C152613,,,0.03892900712817713,22931300,DTC
IX03522,CYP3A4,D02714,CISATRACURIUM BESYLATE,rxcui:136561,,,0.007299188836533211,,DTC
IX03523,CYP3A4,D02069,NAVTEMADLIN,ncit:C116624,,,0.01946450356408856,24456472,DTC
IX03524,CYP3A4,D02715,SOBUZOXANE,ncit:C66540,,,0.01946450356408856,,DTC
IX03525,CYP3A4,D01764,CURCUMIN,rxcui:2955,,,0.0008847501620040257,,TTD
IX03526,CYP3A4,D02716,COBICISTAT,rxcui:1306284,inhibitor,INHIBITORY,0.01167870213845313,,ChEMBL
IX03527,CYP3A4,D02717,(S)-PINACIDIL,chembl:CHEMBL251647,,,0.02919675534613284,,DTC
IX03528,CYP3A4,D02718,CHEMBL:CHEMBL462731,chembl:CHEMBL462731,,,0.05839351069226569,,DTC
IX03529,CYP3A4,D02719,CHEMBL:CHEMBL140220,chembl:CHEMBL140220,,,0.01946450356408856,,DTC
IX03530,CYP3A4,D02720,DIHYDROCAPSAICIN,rxcui:2166037,,,0.01459837767306642,,DTC
IX03531,CYP3A4,D00153,VILAZODONE HYDROCHLORIDE,rxcui:1086768,,,0.01167870213845313,21951984,PharmGKB
IX03532,CYP3A4,D02721,OXYMORPHONE,rxcui:7814,,,0.005308500972024154,,PharmGKB
IX03533,CYP3A4,D02722,5-AMINOISOQUINOLINE,drugbank:DB04605,,,0.02919675534613284,,DTC
IX03534,CYP3A4,D02723,PROPAFENONE HYDROCHLORIDE,rxcui:203135,,,0.00417096504944755,,DTC
IX03535,CYP3A4,D02724,OXOGLAUCINE,iuphar.ligand:12559,,,0.0083419300988951,,DTC
IX03536,CYP3A4,D00168,"L-694,247",iuphar.ligand:15,,,0.0083419300988951,,DTC
IX03537,CYP3A4,D02725,4'-HYDROXY-FLAVANONE,chembl:CHEMBL73933,,,0.05839351069226569,,DTC
