JournalID,Name,ISSN,SCI_Ranking,ImpactFactor,Publisher
J00206,Breast Cancer Targets and Therapy,1179-1314,53,1.48,Dove Medical Press
J00207,International Journal of Breast Cancer,2090-3170,47,1.5,Hindawi Publishing Corporation
J00208,Current Breast Cancer Reports,1943-4588,30,0.857,Springer Science+Business Media
J00209,Breast Cancer Management,1758-1923,18,0.0,Future Medicine
J00210,Archives of Breast Cancer,2383-0425,9,0.349,Kaviani Breast Disease Institute
J00211,Breast Cancer Online,1470-9031,9,0.0,Cambridge University Press
J00212,Journal of Korean Breast Cancer Society,1598-3641,7,0.0,
J00213,Nihon Nyugan Kenshin Gakkaishi (Journal of Japan Association of Breast Cancer Screening),0918-0729,8,0.027,
J00214,The Open Breast Cancer Journal,1876-8172,8,0.0,Bentham Science Publishers
J00215,Breast Cancer Current Research,2572-4118,4,0.0,OMICS Publishing Group
J00216,Annals of Breast Cancer and Therapy,2578-6512,2,0.0,
J00217,Journal of Breast Cancer Research,2769-2418,2,0.176,
J00218,Global Journal of Breast Cancer Research,2309-4419,2,0.0,
J00219,Annals of Breast Cancer,2640-8198,2,0.0,
J00220,Breast Cancer Reports,2057-1631,1,0.0,Herbert Publications
J00221,Journal of young women's breast cancer and health.,3050-7162,2,0.391,Medknow
J00222,Journal of Breast Cancer Research and Advancements,2638-3527,1,0.0,
J00223,Journal of clinical breast cancer.,2996-1262,1,0.0,
J00224,Annals of breast cancer research.,2641-7685,1,1.0,
J00225,World Journal of Breast Cancer Research,2644-0334,1,0.0,
J00226,Lung Cancer,0169-5002,184,1.223,Elsevier BV
J00227,Clinical Lung Cancer,1525-7304,91,1.721,Elsevier BV
J00228,Lung Cancer Targets and Therapy,1179-2728,35,2.105,Dove Medical Press
J00229,Lung Cancer Management,1758-1966,19,1.353,Future Medicine
J00230,Lung Cancer International,2090-3197,14,0.0,Hindawi Publishing Corporation
J00231,Journal of Lung Cancer,1598-7809,8,0.0,Korean Assoc for the Study of Lung Cancer
J00232,Advances in Lung Cancer,2169-2718,5,0.0,Scientific Research Publishing
J00233,Haigan,0386-9628,15,0.115,The Japan Lung Cancer Society
J00234,The Open Lung Cancer Journal,1876-8199,5,0.0,
J00235,Annals of Lung Cancer,2643-5713,2,0.0,
J00236,The Clinical Lung Cancer,3064-6693,0,0.0,
J00237,International Journal of Lung Cancer,3117-504X,0,0.0,
J00238,GECP Lung Cancer & Clinical Research Journal,3081-6335,0,0.0,
J00239,Zhongguo feiai zazhi/Zhongguo fei'ai zazhi,1009-3419,0,0.0,Chinese Anti-Cancer Association
J00240,Prostate Cancer and Prostatic Diseases,1365-7852,98,4.199,Springer Nature
J00241,Prostate Cancer,2090-3111,38,0.767,Hindawi Publishing Corporation
J00242,Clinical Prostate Cancer,1540-0352,33,0.0,Elsevier BV
J00243,The Open Prostate Cancer Journal,1876-8229,8,0.0,Bentham Science Publishers
J00244,Cancer Immunology Immunotherapy,0340-7004,161,4.276,Springer Science+Business Media
J00245,Journal for ImmunoTherapy of Cancer,2051-1426,176,6.737,BMJ
J00246,International Journal of Immunotherapy and Cancer Research,2455-8591,7,0.0,
J00247,Molecular Cancer,1476-4598,284,20.997,BioMed Central
J00248,Molecular Cancer Therapeutics,1535-7163,215,1.356,American Association for Cancer Research
J00249,Cancer Studies and Molecular Medicine - Open Journal,2377-1518,8,0.0,Openventio Publishers
J00250,Molecular and Translational Cancer Epidemiology,1687-6458,0,0.0,Hindawi Publishing Corporation
J00251,Cancer Genetics and Cytogenetics,0165-4608,122,0.0,Elsevier BV
J00252,Cancer Genetics,2210-7762,63,2.343,Elsevier BV
J00253,Journal of Cancer Genetics and Biomarkers,2572-3030,3,0.0,
J00254,Cancer Genetics and Epigenetics,2369-2995,2,0.111,
J00255,Iraqi Journal of Cancer and Medical Genetics,2078-6123,7,0.439,
J00256,Seminars in Surgical Oncology,1098-2388,77,0.0,Wiley
J00257,Surgical Oncology Clinics of North America,1055-3207,83,0.602,Elsevier BV
J00258,Indian Journal of Surgical Oncology,0975-7651,36,0.492,Springer Science+Business Media
J00259,International Journal of Surgical Oncology,2090-1402,42,1.6,Hindawi Publishing Corporation
J00260,International Seminars in Surgical Oncology,1477-7800,29,0.0,BioMed Central
J00261,The Open Surgical Oncology Journal,1876-5041,8,0.0,Bentham Science Publishers
J00262,Surgical Oncology Insight,2950-2470,5,0.937,Elsevier BV
J00263,Journal of Surgical Oncology,2674-3000,4,0.0,
J00264,Archives of Surgical Oncology,2471-2671,4,0.0,OMICS Publishing Group
J00265,JSM surgical oncology and research.,2578-3688,0,0.0,JSciMed Central
J00266,International advances in surgical oncology,0190-1575,0,0.0,
J00267,Journal of surgical oncology. Supplement,1046-7416,0,0.0,
J00268,Practical Radiation Oncology,1879-8500,69,1.528,Elsevier BV
J00269,International Journal of Cancer,0020-7136,326,3.326,Wiley
J00270,Advances in Radiation Oncology,2452-1094,49,1.328,Elsevier BV
J00271,Journal of Medical Imaging and Radiation Oncology,1754-9477,57,1.065,Wiley
J00272,Radiation Oncology Journal,2234-1900,38,1.429,
J00273,Physics and Imaging in Radiation Oncology,2405-6316,38,1.737,Elsevier BV
J00274,Radiation Oncology Investigations,1065-7541,34,0.0,Wiley
J00275,Journal of Radiation Oncology,1948-7894,21,0.0,Springer Science+Business Media
J00276,Technical Innovations & Patient Support in Radiation Oncology,2405-6324,26,1.092,Elsevier BV
J00277,Strahlentherapie und Onkologie,0179-7158,89,1.882,Springer Science+Business Media
J00278,Precision Radiation Oncology,2398-7324,16,2.714,Wiley
J00279,Applied Radiation Oncology,2334-5446,10,0.224,
J00280,Acta Radiologica Oncology Radiation Physics Biology,0348-5196,21,0.0,Taylor & Francis
J00281,Journal of Radiation Oncology Informatics,1663-618X,6,0.0,Society for Radiation Oncology Informatics
J00282,International Journal of Radiology and Radiation Oncology,2640-7566,4,0.0,
